Date,neerslag,verdamping,kwel,wegzijging,maalstaat,uitlaat,verhard,uitspoeling,intrek,afstroming,drain
2010-09-03,0.0,-1235.1929824561405,25.56713426,-59.86798195,3000.0,-729.475994422304,-0.0,212.85236492255814,-1213.8825403541136,0.0,0
2010-09-04,0.0,-1352.8304093567253,25.56713426,-59.86798195,3000.0,-647.617339636035,-0.0,213.17486843030233,-1178.4262717475424,0.0,0
2010-09-05,0.0,-1646.923976608187,25.56713426,-59.86798195,3000.0,-393.548893462048,-0.0,215.52300158727212,-1140.749283827037,0.0,0
2010-09-06,6487.41,-1823.3801169590647,25.56713426,-59.86798195,3000.0,-6755.499195993743,-0.0,222.7810214285449,-1097.0108607857367,0.0,0
2010-09-07,1307.5400000000002,-352.91228070175436,25.56713426,-59.86798195,3000.0,-2978.3007651690873,-0.0,232.40005928569045,-1174.4261657248494,0.0,0
2010-09-08,6738.860000000001,-529.3684210526317,25.56713426,-59.86798195,3000.0,-8206.736349249919,-0.0,215.33369335712138,-1183.7880753645707,0.0,0
2010-09-09,0.0,-1411.6491228070174,25.56713426,-59.86798195,3000.0,-463.6184496164967,-0.0,203.06078402140926,-1293.4923639078952,0.0,0
2010-09-10,1106.38,-588.187134502924,25.56713426,-59.86798195,3000.0,-2437.964209360558,-0.0,207.4492656192683,-1253.377074065786,0.0,0
2010-09-11,352.03,-1588.105263157895,25.56713426,-59.86798195,3000.0,-673.6816405873483,-0.0,196.99373905734146,-1252.9359876220983,0.0,0
2010-09-12,50.29,-823.4619883040936,25.56713426,-59.86798195,3000.0,-1181.4794553646661,-0.0,205.07574515160732,-1216.1234537928472,0.0,0
2010-09-13,2112.1800000000003,-1294.0116959064328,25.56713426,-59.86798195,3000.0,-2792.2167932381253,-0.0,198.97333063644658,-1190.623993801889,0.0,0
2010-09-14,9353.94,-235.2748538011696,25.56713426,-59.86798195,3000.0,-11091.403614920793,-0.0,201.71267757280197,-1194.6733611608397,0.0,0
2010-09-15,6336.54,-1176.374269005848,25.56713426,-59.86798195,3000.0,-6950.597052273472,-0.0,185.65716981552174,-1360.9250008462018,0.0,0
2010-09-16,8951.62,-882.280701754386,25.56713426,-59.86798195,3000.0,-9775.740680254876,-0.0,187.67025283396956,-1446.9680231347093,0.0,0
2010-09-17,1860.73,-764.6432748538012,25.56713426,-59.86798195,3000.0,-2657.316385806439,-0.0,184.3373275505726,-1588.8068192003325,0.0,0
2010-09-18,402.32,-1176.374269005848,25.56713426,-59.86798195,3000.0,-775.2902245443681,-0.0,179.27981479551534,-1595.6344735552989,0.0,0
2010-09-19,201.16,-470.5497076023392,25.56713426,-59.86798195,3000.0,-1312.8659054069085,-0.0,181.9306333159638,-1565.374172616716,0.0,0
2010-09-20,0.0,-529.3684210526317,25.56713426,-59.86798195,3000.0,-1061.2945775542169,-0.0,171.96908998436743,-1547.005243687519,0.0,0
